id,Url,Sale_Price,Brand,Size,Category,Subcategory
0,Vintage-Escada-Two-Button-Blazer-Size-44-Pink-Wool-5d2532ac62e9d582304b563d,56,Escada,10,Women,Jackets_&_Coats
1,Patagonia-W-Torrentshell-Rattan-Medium-Rain-Jacket-5d252e3b65d17f4024253558,70,Patagonia,M,Women,Jackets_&_Coats
2,Just-Cavalli-white-and-purple-floral-print-shirt-5cdce009bbf07618a1b51039,49,Just Cavalli,S,Women,Tops
3,Lululemon-Yoga-Black-Legging-Pants-5d5d61fc1153baf5a5c909ed,40,lululemon athletica,8,Women,Pants
4,Lululemon-Black-Crop-Yoga-Pants-MSRP-110-5d5d627c969d1febbeeb4462,49,lululemon athletica,8,Women,Pants
5,Vionic-Gramercy-Ballet-Flats-8-Gray-Suede-Pointed-5d1be89262e9d51228ad423a,40,Vionic,8,Women,Shoes
6,Bea-Dot-Seaside-Sketching-Floral-Dress-Orange-5c9e41f42eb33fd3f2bf01b8,50,Modcloth,4X,Women,Dresses
7,Free-People-Long-Wool-Fringe-Cardigan-5d64beca2f827666c5152c7c,40,Free People,L,Women,Sweaters
8,Marisa-Baratelli-clutch-euc-5d01ba34b3e9171631119a97,54,Marisa Baratelli,9.5+w+X+5.5,Women,Bags
9,Sorel-Jee-Winter-Lace-Up-Boots-9-H2-5d08c9aad948a1189d79683c,50,Sorel,9,Women,Shoes
10,Athleta-odyssey-Bettona-boyfriend-joggers-5cf97ab8264a555c40f90f84,60,Athleta,XS,Women,Pants
11,Mother-Looker-Ankle-Fray-Film-at-11-27-5d23c8f02f4831bc82b915da,48,MOTHER,27,Women,Jeans
12,BURBERRY-Nova-Check-Jelly-Sandals-Black-Size-7-5af2526c2ab8c5e31595cacf,80,Burberry,7,Women,Shoes
13,LV-Travel-Bag-5d65774e248f7aa5beabd7a3,200,Louis Vuitton,OS,Women,Bags
14,Kate-spade-purse-5d61c031a20dfc01bbc56e29,40,kate spade,OS,Women,Bags
15,Salvatore-Ferragamo-black-patent-flats-toe-bow-5c5908abf63eea7b846561c1,60,Salvatore Ferragamo,9.5,Women,Shoes
16,Lululemon-Define-Jacket-Size-2-Vibrant-Orchid-5c830c0f8158b51ad4b0daa2,48,lululemon athletica,2,Women,Jackets_&_Coats
17,Lululemon-leggings-5b61fa3dd6dc52d33c28031c,50,lululemon athletica,8,Women,Pants
18,Tory-Burch-Ryder-Black-Floral-Silk-Dress-4-5d27ae3f6a7fbaeb7481674e,70,Tory Burch,4,Women,Dresses
19,Hugo-Boss-Dashina-Shirt-Dress-5d4883362f8276ea846c6d7c,60,Hugo Boss,10,Women,Dresses
20,GUCCI-topaz-sterling-5c13e1d8035cf151684ae7b6,120,Gucci,16%22,Women,Jewelry
21,TORY-BURCH-cable-knit-5cdc162179df2772941e4757,99,Tory Burch,L,Women,Sweaters
22,Sale-LUXURIOUS-JOIE-Leather-Tall-Riding-5d2bb8b5464c9f7b7a146882,65,Joie,8,Women,Shoes
23,Jack-Rogers-Quinn-Shoes-Brown-Loafers-NWOT-5cd61bf1248f7a34b189e12d,50,Jack Rogers,7,Women,Shoes
24,Betabrand-Straight-Leg-Pinstripe-Pants-XL-Petite-5d61a3eedc11f3f0dda2e861,40,Betabrand,XLP,Women,Pants
25,Lily-Jade-Danielle-5d5b1d8d7f617f8d15b833f6,70,lily jade,OS,Women,Bags
26,RARE-Goldsheep-leggings-5d4ac77d8d653d069a0cf239,92,Goldsheep,M,Women,Pants
27,Sale-Get-carried-away-tote-5ce5b54416105d2296064436,105,Vera Bradley,OS,Women,Bags
28,PRADA-TESSUTO-WRISTLET-5d5f3a50138e18795f2ce6ab,200,Prada,OS,Women,Bags
29,Reformation-Scuba-Leggings-5d26a45019c157c56ca2e6d9,40,Reformation,XS,Women,Pants
30,Reformation-Scuba-Leggings-5d26a45019c157c56ca2e6d9,40,Reformation,XS,Women,Pants
31,Chicos-bejeweled-Thong-sz-7-Wedge-Sandal-35-Heel-5c3a66b4fe51512935397f84,48,Chico's,7,Women,Shoes
32,Vintage-Solare-Sporta-Sun-Moon-Stars-Zip-Jacket-5d046d5108d2c27da1f2f404,50,Solar E,XL,Women,Jackets_&_Coats
33,RAG-BONE-SKINNY-WHITE-JEANS-SIZE-26J-5d048c8765d17fc61f591cb2,88,rag & bone,26,Women,Jeans
34,Lululemon-Reversible-Black-Bomber-Jacket-2-5d535c6f138e185caa38a814,50,lululemon athletica,2,Women,Jackets_&_Coats
35,Sale-TORY-BURCH-CLASSIC-jeans-30J-5d48fcba151ccdc85d5a1087,54,Tory Burch,30,Women,Jeans
