"word","id"
"10",17299
"10",21806
"10",36789
"12",13421
"14",1671
"14",5741
"14",40848
"151",15149
"16w",27501
"18w",14789
"2",18418
"2",21983
"286p",30106
"2pk",3956
"2pk",4804
"2pk",34197
"2x",13686
"3",4827
"32c",37015
"4",18429
"4",31858
"4",37708
"4p143",6882
"500",17313
"6",14524
"6",28612
"6",42586
"7",10806
"8",2783
"8",27751
"8",50254
"8p",37102
"9",14993
"aline",21983
"and",11768
"and",33248
"animal",6688
"animal",27751
"ankle",20555
"athletic",27520
"backpack",32207
"bandeau",33248
"beautiful",50524
"beige",33248
"bell",7408
"below",17313
"belted",696
"belted",16735
"belted",18418
"bikini",4827
"black",2237
"black",6882
"black",14993
"black",16735
"black",16765
"black",20555
"black",27259
"black",27501
"black",28612
"black",40848
"black",48088
"black",50660
"blazer",13421
"blazer",15866
"blazer",33798
"blazer",36613
"blazer",37102
"blazer",42904
"blazer",50660
"block",23438
"block",46139
"blouse",2237
"blouse",4683
"blouse",15149
"blouse",18041
"blouse",32126
"blouse",36715
"blue",696
"blue",7178
"blue",7297
"blue",7303
"blue",11768
"blue",12297
"blue",13686
"blue",14524
"blue",42904
"blue",45822
"blush",3167
"blush",10806
"blush",28810
"bodycon",50254
"boho",20822
"boots",1115
"boots",20555
"boots",49431
"bra",12235
"bra",36371
"bra",37015
"bralette",3956
"bralette",4804
"brand",10303
"breasted",2906
"breeze",13794
"brown",29992
"brown",38834
"brown",49548
"buckle",28612
"business",41240
"button",13686
"button",47880
"button",49548
"button",49659
"button",50660
"calvin",696
"calvin",1115
"calvin",1671
"calvin",2237
"calvin",2783
"calvin",2906
"calvin",3167
"calvin",3956
"calvin",4683
"calvin",4804
"calvin",4827
"calvin",5741
"calvin",6127
"calvin",6622
"calvin",6688
"calvin",7178
"calvin",7297
"calvin",7303
"calvin",7408
"calvin",7509
"calvin",9170
"calvin",10251
"calvin",10303
"calvin",10806
"calvin",11429
"calvin",11768
"calvin",12235
"calvin",12297
"calvin",12828
"calvin",13421
"calvin",13686
"calvin",13794
"calvin",14524
"calvin",14789
"calvin",14993
"calvin",15149
"calvin",15549
"calvin",15866
"calvin",16735
"calvin",16765
"calvin",16787
"calvin",17299
"calvin",17419
"calvin",18041
"calvin",18042
"calvin",18250
"calvin",19767
"calvin",20091
"calvin",20100
"calvin",20555
"calvin",20822
"calvin",20855
"calvin",21024
"calvin",21671
"calvin",21806
"calvin",21814
"calvin",21983
"calvin",22037
"calvin",22202
"calvin",22877
"calvin",23078
"calvin",23438
"calvin",24108
"calvin",26296
"calvin",26733
"calvin",27259
"calvin",27401
"calvin",27501
"calvin",27520
"calvin",27751
"calvin",28612
"calvin",28810
"calvin",28954
"calvin",29908
"calvin",29992
"calvin",30106
"calvin",31185
"calvin",31629
"calvin",31858
"calvin",31890
"calvin",32126
"calvin",32207
"calvin",33248
"calvin",33390
"calvin",33452
"calvin",33798
"calvin",34048
"calvin",34171
"calvin",34197
"calvin",34728
"calvin",36371
"calvin",36613
"calvin",36715
"calvin",36789
"calvin",37015
"calvin",37102
"calvin",37708
"calvin",37947
"calvin",38038
"calvin",38525
"calvin",38833
"calvin",38834
"calvin",39290
"calvin",39351
"calvin",39461
"calvin",40824
"calvin",40848
"calvin",41240
"calvin",41360
"calvin",41417
"calvin",41477
"calvin",41799
"calvin",41879
"calvin",41914
"calvin",42586
"calvin",42904
"calvin",43316
"calvin",45029
"calvin",45435
"calvin",46071
"calvin",46139
"calvin",46426
"calvin",46961
"calvin",47233
"calvin",47499
"calvin",47880
"calvin",48088
"calvin",49061
"calvin",49068
"calvin",49099
"calvin",49363
"calvin",49431
"calvin",49548
"calvin",49659
"calvin",49669
"calvin",49882
"calvin",49970
"calvin",49989
"calvin",50254
"calvin",50524
"calvin",50660
"calvin",50664
"camel",49431
"cap",9170
"cap",49068
"capris",41477
"cardigan",18250
"cardigan",48088
"cardigan",49548
"career",5741
"career",37102
"cargo",41477
"cashmere",21671
"cashmerewool",41417
"chain",32126
"chambray",22877
"cheetah",41240
"ck",6882
"ck",18418
"ck",18429
"ck",44879
"classic",13794
"coat",2906
"coat",41417
"cocktail",36789
"color",23438
"colorblock",21814
"colorblock",27259
"colorblock",41879
"cotton",20100
"cotton",33390
"cotton",42904
"cowl",5741
"cowl",18418
"cowl",39290
"crewneck",29908
"crop",20091
"crop",29908
"cropped",6622
"cuffed",31185
"dark",49431
"denim",1671
"denim",49061
"distressed",1671
"dolly",49970
"dot",45822
"double",2906
"double",41914
"down",13686
"down",47880
"down",49659
"draped",46426
"dress",696
"dress",2783
"dress",5741
"dress",6127
"dress",6882
"dress",7178
"dress",7297
"dress",7303
"dress",7408
"dress",9170
"dress",14524
"dress",14789
"dress",17299
"dress",18418
"dress",18429
"dress",19767
"dress",21024
"dress",21814
"dress",21983
"dress",22202
"dress",23438
"dress",27501
"dress",27751
"dress",28612
"dress",31858
"dress",33452
"dress",34171
"dress",36789
"dress",38038
"dress",39351
"dress",39461
"dress",40824
"dress",40848
"dress",41360
"dress",41879
"dress",42586
"dress",45822
"dress",46934
"dress",47499
"dress",49068
"dress",49099
"dress",49882
"dress",50254
"dri",49363
"dye",7297
"embellished",40824
"embroidered",20822
"embroidery",22202
"emmy",46071
"euc",42904
"fabric",14993
"fashion",27401
"fauxleather",28810
"fit",17419
"fit",49099
"fitted",37102
"fitted",47499
"flare",6882
"flare",49099
"flats",15549
"fleece",16765
"floral",22202
"floral",34171
"formal",10251
"formal",10303
"free",50664
"fur",49061
"gayle",10806
"geometric",4683
"glitter",41799
"gold",10251
"gold",10303
"gold",28612
"gold",32126
"gold",38833
"gold",38834
"gown",10251
"gown",10303
"gown",27259
"gray",2783
"gray",18418
"gray",27751
"gray",37102
"gray",41240
"gray",49099
"green",49363
"grey",14993
"grey",18041
"grey",18250
"grey",21024
"grey",27520
"grey",39351
"grey",41360
"halter",18429
"halter",19767
"handbag",47233
"heels",14993
"heels",18042
"heels",20855
"heels",37947
"heels",46071
"heels",46139
"hem",27501
"hi",28954
"high",7509
"high",16787
"high",31185
"hoodie",24108
"hoodie",44879
"host",28954
"hot",46934
"houndstooth",17419
"in",6882
"in",28810
"in",46071
"infinity",49669
"is",42586
"jacket",16765
"jacket",22877
"jacket",28810
"jacket",28954
"jacket",37708
"jacket",41914
"jacket",49061
"jaiden",27401
"jeans",7297
"jeans",7509
"jeans",20822
"jeans",23078
"jeans",29908
"jeans",30106
"jeans",34048
"jeans",43316
"jeans",47880
"jeans",49989
"jumpsuit",11768
"kitten",18042
"klein",696
"klein",1115
"klein",1671
"klein",2237
"klein",2783
"klein",2906
"klein",3167
"klein",3956
"klein",4683
"klein",4804
"klein",4827
"klein",5741
"klein",6127
"klein",6622
"klein",6688
"klein",7178
"klein",7297
"klein",7303
"klein",7408
"klein",7509
"klein",9170
"klein",10251
"klein",10303
"klein",10806
"klein",11429
"klein",11768
"klein",12235
"klein",12297
"klein",13421
"klein",13686
"klein",13794
"klein",14524
"klein",14789
"klein",14993
"klein",15149
"klein",15549
"klein",16735
"klein",16765
"klein",16787
"klein",17299
"klein",17419
"klein",18041
"klein",18042
"klein",18250
"klein",19767
"klein",20091
"klein",20100
"klein",20555
"klein",20822
"klein",20855
"klein",21024
"klein",21671
"klein",21806
"klein",21814
"klein",21983
"klein",22037
"klein",22202
"klein",22877
"klein",23078
"klein",23438
"klein",24108
"klein",26296
"klein",26733
"klein",27259
"klein",27401
"klein",27501
"klein",27520
"klein",27751
"klein",28612
"klein",28810
"klein",28954
"klein",29908
"klein",29992
"klein",30106
"klein",31185
"klein",31629
"klein",31858
"klein",31890
"klein",32126
"klein",32207
"klein",33248
"klein",33390
"klein",33452
"klein",33798
"klein",34048
"klein",34171
"klein",34197
"klein",34728
"klein",36371
"klein",36613
"klein",36715
"klein",36789
"klein",37015
"klein",37102
"klein",37708
"klein",37947
"klein",38038
"klein",38525
"klein",38833
"klein",38834
"klein",39290
"klein",39351
"klein",39461
"klein",40824
"klein",40848
"klein",41240
"klein",41360
"klein",41417
"klein",41477
"klein",41799
"klein",41879
"klein",41914
"klein",42586
"klein",42904
"klein",43316
"klein",45029
"klein",45435
"klein",46071
"klein",46139
"klein",46426
"klein",46961
"klein",47233
"klein",47499
"klein",47880
"klein",48088
"klein",49061
"klein",49068
"klein",49099
"klein",49363
"klein",49431
"klein",49548
"klein",49659
"klein",49669
"klein",49882
"klein",49970
"klein",49989
"klein",50254
"klein",50524
"klein",50660
"klein",50664
"klevin",46934
"klien",12828
"klien",15866
"knit",3167
"knit",45029
"l",33390
"l",34197
"l",34728
"lace",22202
"lace",33248
"ladies",3956
"ladies",4804
"large",26733
"large",41799
"large",45435
"layer",16787
"leather",18042
"leather",46961
"lightly",37015
"lined",13421
"lined",16765
"lined",37015
"lined",49061
"linen",13794
"lines",41914
"loafers",21806
"long",17299
"long",36789
"long",38833
"low",16787
"low",28954
"luxe",696
"m",7178
"m",43316
"m",47880
"medium",4683
"medium",30106
"medium",36613
"medium",44879
"mesh",16787
"metallic",46961
"metallic",48088
"midi",27751
"mix",48088
"modern",17419
"mom",7509
"moto",28810
"mule",46139
"multicolored",14789
"navy",12297
"navy",36715
"navy",49068
"neck",5741
"neck",18418
"neck",18429
"neck",39290
"neck",46426
"new",4827
"new",10303
"new",12297
"new",14993
"new",42586
"new",46139
"new",47233
"newcalvin",46934
"nude",10806
"nude",46071
"nwot",9170
"nwot",26296
"nwot",36371
"once",42586
"one",50660
"only",42586
"open",48088
"pack",4827
"panel",2783
"pants",6622
"pants",11429
"pants",17419
"pants",22037
"pants",34048
"pastel",45822
"patent",46139
"patton",18042
"pencil",6688
"performance",22037
"performance",41799
"performance",49363
"petites",36715
"pick",28954
"pink",3167
"pink",33248
"pink",46934
"pinstripe",41360
"plaid",39351
"platform",37947
"platform",46071
"print",6688
"print",27751
"print",29992
"print",34171
"print",41240
"pump",10806
"pumps",37947
"pumps",46071
"pumps",49970
"purples",33452
"purse",32207
"quick",49363
"quilted",16765
"red",21671
"regatta",11768
"rhinestone",41879
"rhinestone",49548
"royal",42904
"rules",17313
"s",27520
"s",49548
"sale",17313
"sale",47880
"sandals",46961
"satin",2906
"scarf",49669
"seamless",3956
"seamless",4804
"seamless",4827
"see",17313
"sequin",10251
"sequin",10303
"sequin",27259
"sheath",696
"sheath",2783
"sheath",5741
"sheath",9170
"sheath",22202
"sheath",31858
"sheath",39351
"sheath",39461
"sheath",40824
"sheath",41360
"sheath",41879
"sheath",45822
"sheath",49068
"sheer",2237
"sheer",4683
"sherpa",49061
"shift",7303
"shirt",12828
"shirt",13686
"shirt",27501
"shirt",29992
"shirt",47880
"shirt",49659
"shoes",20855
"shorts",1671
"shorts",27520
"shorts",31185
"side",38038
"signature",32207
"signature",38834
"silk",2237
"silk",33452
"silver",28954
"silversleeveless",39461
"size",6882
"size",7178
"size",12828
"size",13421
"size",14524
"size",18418
"size",21806
"size",21983
"size",29992
"size",34728
"size",36613
"size",40848
"size",42586
"size",44879
"size",50254
"size2",15866
"skinny",30106
"skinny",34048
"skirt",6688
